"Feature" "Gain" "Cover" "Frequency"
"266" "`XLB_RB=F_rsi14_ratio`" 0.001 0 0
"267" "`ZC=F_LE=F_rsi14_ratio`" 0.001 0 0
"268" "`XAX_GF=F_rsi14_ratio`" 0.001 0.001 0
"269" "`XLE_ZL=F_rsi14_ratio`" 0.001 0.001 0.001
"270" "XLK_XHB_rsi14_ratio" 0.001 0.001 0.001
"271" "`XLE_RB=F_rsi14_ratio`" 0.001 0.001 0
"272" "`TNX_OJ=F_price_ratio`" 0.001 0 0
"273" "`KC=F_SI=F_rsi14_ratio`" 0.001 0 0
"274" "`AXJO_ZR=F_rsi14_ratio`" 0.001 0 0
"275" "`STI_OJ=F_price_ratio`" 0.001 0.001 0
"276" "`KE=F_RB=F_price_ratio`" 0.001 0 0
"277" "`KC=F_TYX_price_ratio`" 0.001 0 0
"278" "`ZO=F_HG=F_price_ratio`" 0.001 0.001 0
"279" "XLE_GSPTSE_price_ratio" 0.001 0.001 0
"280" "`ZC=F_HE=F_price_ratio`" 0.001 0.001 0
"281" "`AXJO_ZO=F_price_ratio`" 0.001 0 0
"282" "ZR.F_smacross" 0.001 0.001 0
"283" "`HO=F_LE=F_rsi14_ratio`" 0.001 0 0
"284" "`HO=F_RB=F_price_ratio`" 0.001 0.001 0
"285" "FTSE_NZ50_rsi14_ratio" 0.001 0 0
"286" "`GDAXI_HE=F_rsi14_ratio`" 0.001 0 0.001
"287" "XLU_smacross" 0.001 0.002 0.001
"288" "`000001.SS_HO=F_rsi14_ratio`" 0.001 0.001 0.001
"289" "`000001.SS_SHY_rsi14_ratio`" 0.001 0.001 0
"290" "STI_IRX_rsi14_ratio" 0.001 0 0
"291" "`MXX_KC=F_rsi14_ratio`" 0.001 0.001 0
"292" "`XLU_ZS=F_rsi14_ratio`" 0.001 0.001 0
"293" "XAX_NYA_price_ratio" 0.001 0 0
"294" "XLP_BFX_price_ratio" 0.001 0.002 0
"295" "IXIC_GSPTSE_rsi14_ratio" 0.001 0 0
"296" "XLP_MXX_price_ratio" 0.001 0 0
"297" "`BVSP_KC=F_rsi14_ratio`" 0.001 0.001 0
"298" "`SB=F_SHY_price_ratio`" 0.001 0.001 0
"299" "`ZR=F_NZ50_rsi14_ratio`" 0.001 0.001 0
"300" "`HG=F_KE=F_rsi14_ratio`" 0.001 0.001 0
"301" "`XLY_KE=F_price_ratio`" 0.001 0 0
"302" "`ZR=F_GC=F_rsi14_ratio`" 0.001 0 0
"303" "XLB_DJI_price_ratio" 0.001 0.002 0.001
"304" "XLB_HSI_price_ratio" 0.001 0 0
"305" "`XLU_RB=F_rsi14_ratio`" 0.001 0 0
"306" "HSI_GSPTSE_rsi14_ratio" 0.001 0.001 0
"307" "`CT=F_KE=F_price_ratio`" 0.001 0.001 0.001
"308" "XLK_MXX_price_ratio" 0.001 0.001 0
"309" "`GDAXI_SI=F_rsi14_ratio`" 0.001 0.001 0
"310" "`TWII_RB=F_price_ratio`" 0.001 0 0
"311" "GDAXI_KLSE_price_ratio" 0.001 0 0
"312" "`000001.SS_KE=F_price_ratio`" 0.001 0.001 0
"313" "BFX_GDAXI_price_ratio" 0.001 0.001 0
"314" "`JKSE_SB=F_rsi14_ratio`" 0.001 0.001 0
"315" "HO.F_smacross" 0.001 0.001 0
"316" "ZM.F_smacross" 0.001 0.002 0.001
"317" "`AORD_OJ=F_price_ratio`" 0.001 0.001 0
"318" "`RB=F_SHY_rsi14_ratio`" 0.001 0 0
"319" "`VIX_SI=F_price_ratio`" 0.001 0.001 0
"320" "`TYX_OJ=F_price_ratio`" 0.001 0.001 0
"321" "`BFX_CT=F_rsi14_ratio`" 0.001 0 0
"322" "`FTSE_ZL=F_rsi14_ratio`" 0.001 0 0
"323" "`LE=F_GF=F_price_ratio`" 0.001 0 0
"324" "m2_change" 0.001 0.001 0
"325" "KLSE_TWII_rsi14_ratio" 0.001 0.001 0
"326" "`OJ=F_XHB_price_ratio`" 0.001 0.001 0
"327" "`KLSE_ZL=F_rsi14_ratio`" 0.001 0 0
"328" "ZS.F_smacross" 0.001 0.001 0
"329" "`000001.SS_OJ=F_rsi14_ratio`" 0.001 0 0
"330" "XLY_XHB_rsi14_ratio" 0.001 0.001 0.001
"331" "XLP_NZ50_rsi14_ratio" 0.001 0.001 0.001
"332" "`HSI_ZR=F_price_ratio`" 0.001 0.002 0
"333" "XAX_DJI_rsi14_ratio" 0.001 0 0
"334" "`XLP_HO=F_rsi14_ratio`" 0.001 0 0
"335" "`NG=F_KE=F_rsi14_ratio`" 0.001 0.001 0.001
"336" "RUT_XLF_rsi14_ratio" 0.001 0 0.001
"337" "LE.F_smacross" 0.001 0 0.001
"338" "`JKSE_HO=F_rsi14_ratio`" 0.001 0 0
"339" "CC.F_smacross" 0.001 0.001 0
"340" "KLSE_000001.SS_rsi14_ratio" 0.001 0 0
"341" "`VIX_HG=F_rsi14_ratio`" 0.001 0 0
"342" "`XLK_CL=F_rsi14_ratio`" 0.001 0 0
"343" "BFX_N225_price_ratio" 0.001 0 0
"344" "XLY_GSPC_rsi14_ratio" 0.001 0.001 0.001
"345" "`XLF_RB=F_price_ratio`" 0.001 0.001 0
"346" "`STI_CL=F_rsi14_ratio`" 0.001 0 0
"347" "MERV_TLT_rsi14_ratio" 0.001 0.001 0
"348" "XLI_GSPC_price_ratio" 0.001 0.001 0
"349" "`XLB_CT=F_rsi14_ratio`" 0.001 0.001 0
"350" "XLF_XLU_price_ratio" 0.001 0.001 0
"351" "XLK_XLV_rsi14_ratio" 0.001 0.001 0.001
"352" "`HG=F_GF=F_rsi14_ratio`" 0.001 0.002 0.001
"353" "XLB_GSPC_rsi14_ratio" 0.001 0.002 0.001
"354" "`ZO=F_HG=F_rsi14_ratio`" 0.001 0 0
"355" "XLV_FVX_rsi14_ratio" 0.001 0.001 0.001
"356" "`IRX_LE=F_rsi14_ratio`" 0.001 0 0.001
"357" "XAX_XLE_price_ratio" 0.001 0.001 0
"358" "RUT_KLSE_rsi14_ratio" 0.001 0 0
